epoch,seed,train_loss,lr,val_mse,val_psnr,val_masked_mae,val_masked_rmse,val_masked_occ_iou,val_fused_full_mae,val_fused_full_rmse,val_fused_full_psnr,val_fused_full_occ_iou,val_full_mae,val_full_rmse,val_full_psnr
1,43,4.6115844439010365,0.0001,0.04155898805527578,13.81335035882913,0.14889306230966753,0.20386021695091905,0.04467901600543396,0.0204668403450869,0.0755823954243196,22.431586963098724,0.2613169545624653,0.4434288482620321,0.4699463244644795,6.55903485490636
2,43,1.156947525872572,0.0001,0.010211353241765251,19.909166999809358,0.06927228542992284,0.10105124067405234,0.04467901600543396,0.009522168355197192,0.03746535221525418,28.52740360407895,0.2613169545624653,0.4057683083221925,0.43936253082085275,7.143539656166239
3,43,0.5835628410851633,0.0001,0.0038839503047915108,24.10726335533574,0.037676364162950955,0.062321347103472584,0.06121842664216073,0.005178993017839238,0.023106012397136833,32.72549995960532,0.3874182772837824,0.362623784592246,0.403757747313959,7.877582626545775
4,43,0.4571478615036687,0.0001,0.002738773654616212,25.62443858440849,0.0265748759967563,0.05233329394005514,0.10421759976968228,0.003652982454514121,0.01940288191386899,34.242675188678085,0.6756357204863205,0.3098190364304813,0.3599771872878156,8.874500415151065
5,43,0.39078694949480325,0.0001,0.0024070573398413063,26.185135640332113,0.02087972258989015,0.04906177065538204,0.1123112481737175,0.0028701266672063,0.01818994507783314,34.803372244601704,0.6838352825428601,0.2561004757687166,0.30974454857078304,10.179926567251778
6,43,0.33209376173043575,0.0001,0.00227151835373537,26.436837497611798,0.01644358141372106,0.04766044852637635,0.11748778260807587,0.002260334701130097,0.017670396512372438,35.05507410188138,0.694137588576011,0.18448407352941176,0.23782741398666152,12.474761727994172
7,43,0.27530014202804176,0.0001,0.0022310433849708333,26.514919843238584,0.012755491127453533,0.04723392197320516,0.1297853515589573,0.0017533698103797627,0.017512259240260543,35.13315644750818,0.7536377215172299,0.12622932900233957,0.16863636585476813,15.460975309880684
8,43,0.22815560174451485,0.0001,0.002242155439721213,26.493342827878095,0.011530369977115,0.04735140377772567,0.13120248079042893,0.001584964657054228,0.01755581632234964,35.111579432147686,0.7131999799530959,0.08229089442680482,0.11568939839278544,18.734128746715765
9,43,0.19574240809054794,0.0001,0.0022502150243255926,26.477759799258887,0.010563706015947956,0.04743643140378071,0.13965456787051386,0.0014520870289522058,0.01758734082355249,35.095996403528474,0.7445959547110146,0.05679078931316845,0.08608405930689496,21.301545239450917
10,43,0.17427409150813883,0.0001,0.002247568832404335,26.482869990049114,0.00983954198577384,0.047408531219647956,0.1470397774096527,0.001352543441364472,0.01757699666331822,35.10110659431871,0.7313104925909638,0.039212390165441174,0.0684792595159496,23.288818888894852
11,43,0.1596495687860895,0.0001,0.0022423152232486925,26.493033346070646,0.008623283793323128,0.047353090957705096,0.1577795907009177,0.0011853565902301972,0.017556441854423843,35.11126995034023,0.7920012474233435,0.029423944111380346,0.06072663186940889,24.332416116753222
12,43,0.14907633081531604,0.0001,0.002245046274272633,26.48774703010705,0.008812115597109656,0.0473819192759499,0.15589034759819062,0.0012113134099786932,0.017567130125934517,35.10598363437664,0.7528039929456135,0.02238365925802139,0.05638317183834618,24.977009930358033
13,43,0.1415289584421427,0.0001,0.002244954196857146,26.487925153533617,0.008348637016027475,0.04738094761459659,0.15703881678392637,0.0011476036442231367,0.017566769876672925,35.10616175780321,0.7627640468330393,0.01729594019468583,0.05430126616096987,25.303800874038377
14,43,0.13568321125883911,0.0001,0.002240480431422205,26.496588449053537,0.008008773352412048,0.04733371347593811,0.16149448951797457,0.00110088598502256,0.017549257537095304,35.11482505332312,0.7731867282009279,0.01406320287955381,0.05335045093407194,25.45723810872593
15,43,0.13127389663478006,0.0001,0.0022414161693294736,26.494774994385835,0.007967002937505312,0.04734359692006379,0.15971587886109093,0.0010951442237894804,0.0175529218831518,35.113011598655426,0.7711741883621139,0.011494142489346592,0.05304131836037828,25.507713798580806
16,43,0.12790405162534602,5e-05,0.002237268462682125,26.502818992891992,0.00755265284396692,0.047299772332244104,0.16225616255359993,0.001038187659931693,0.017536673654951925,35.12105559716158,0.7793006741847043,0.009966820093165107,0.05310548369499404,25.497212623375223
17,43,0.12324188629517684,5e-05,0.0022383758124146476,26.50066995754144,0.007748334603406869,0.04731147654020795,0.15812267342229788,0.0010650860745843082,0.01754101306009768,35.11890656181102,0.7585488383956115,0.009388747190424465,0.05301342458082763,25.51228280303328
18,43,0.1213255394376009,5e-05,0.0022366479893354734,26.50402361150853,0.0077563344457877905,0.04729321293098486,0.16206339610075904,0.0010661857329179896,0.0175342417176807,35.12226021577811,0.7654163755486669,0.008764627057570187,0.053106078326104936,25.497115366539784
19,43,0.11965638421777938,5e-05,0.002239262330451482,26.498950256733774,0.00784574000753914,0.047320844566126265,0.15321537188990964,0.0010784754214363302,0.01754448631176931,35.11718686100336,0.7488008517821921,0.008301272173713235,0.05314153021666969,25.491318883690752
20,43,0.11815652515537836,5e-05,0.0022358811172078145,26.505512918022575,0.007492523453004936,0.04728510460184914,0.15849400438153224,0.0010299222738500585,0.0175312355061298,35.123749522292165,0.7653485752549952,0.007726685745320856,0.05323607425039748,25.47587955765534
21,43,0.11685367689996555,5e-05,0.0022344858909505443,26.5082238322858,0.007689237953553795,0.04727034896159055,0.15835119450633148,0.0010569626490955046,0.017525764764199644,35.12646043655539,0.7535865686657488,0.007362773071941845,0.05333784453680585,25.459290775804607
22,43,0.11554920391456501,5e-05,0.0022305512598742873,26.515877918687906,0.0072709821259348125,0.047228712240270615,0.1612111181453013,0.0009994692030309994,0.01751032770059771,35.134114522957496,0.7778840238689944,0.006957743513953877,0.05337301851327205,25.453564699188796
23,43,0.11448927806388284,5e-05,0.0022308314693161254,26.515332377442448,0.007400507440665712,0.04723167866290722,0.16236760416020596,0.0010172737527939088,0.01751142751954262,35.13356898171204,0.7643805670409249,0.006692837932403075,0.05341146229997569,25.44731063491915
24,43,0.11348387744982501,5e-05,0.0022284765434398553,26.519919328626372,0.0074122679147931875,0.047206742563323044,0.16314502014253174,0.0010188903475674715,0.017502182311393128,35.138155932895955,0.7737493570948372,0.006552219298337232,0.053363417900155447,25.455127237137702
25,43,0.11251459440619156,5e-05,0.0022292655192760317,26.518382012869814,0.00748466905487813,0.04721509842493216,0.15727447441124817,0.0010288426082835477,0.017505280297089885,35.136618617139405,0.7535557821284657,0.006396260233017212,0.05324221412087231,25.474877846635913
26,43,0.11161202008559092,5e-05,0.002225092179307671,26.526519927120702,0.0071417458428961545,0.04717088274887031,0.16053349265481126,0.0009817043835645054,0.01748888707058378,35.14475653139029,0.7699726975847507,0.006223239414480281,0.0527716954863306,25.5519790455731
27,43,0.11092159227543585,5e-05,0.0022261328320673265,26.524489251258778,0.0074333662643021065,0.0471819121281379,0.15686663554062807,0.0010217905266909676,0.017492976278951924,35.14272585552837,0.7520857866468263,0.006085655364827039,0.050499359299685444,25.934282637379763
28,43,0.11001220826260946,5e-05,0.002221950376604605,26.53265644498412,0.007169422563788124,0.047137568632722296,0.1584400627025098,0.0009855088256183154,0.017476535662655484,35.15089304925371,0.7583189909248059,0.0056357631130932485,0.046831128715186715,26.589307496132953
29,43,0.10916698043159134,5e-05,0.0022189937841733164,26.538439143083295,0.007148101491338073,0.0471061968765609,0.1585657025051708,0.0009825780309993316,0.017464904396316174,35.156675747352885,0.7618824334610452,0.005263083101813168,0.04466447206867889,27.00075589957969
30,43,0.10829682342355719,5e-05,0.0022195294055406206,26.537390968294538,0.007214644600168931,0.04711188178730097,0.1527754517377624,0.0009917250467392212,0.017467012110994076,35.15562757256413,0.7471796018171608,0.0049323337441510694,0.04317495112815212,27.29536290718963
31,43,0.10741072646468072,5e-05,0.002217080836302385,26.5421847191932,0.007266742867811545,0.047085887867835574,0.15572504166833212,0.000998886474609375,0.01745737470979316,35.16042132346279,0.7510614831983389,0.004731070466556651,0.04199553865576687,27.535936877801326
32,43,0.10654153249453048,5e-05,0.0022144899748857724,26.54726281449055,0.006579349896584828,0.04705836774565999,0.1600920023668011,0.0009043974367845505,0.017447171459803974,35.16549941876014,0.7869533919737414,0.004358604988302139,0.040738216574852854,27.799959746605975
33,43,0.10578219067758403,5e-05,0.0022109887844978518,26.55413460425831,0.006954760592749429,0.047021152522007066,0.15693964894114165,0.0009560013910793366,0.01743337369292228,35.1723712085279,0.7614760946183963,0.004205685982933656,0.03954453974960096,28.05826949507186
34,43,0.10509085573407041,5e-05,0.0022077856190126145,26.56043099874011,0.007128125404263508,0.046987079277314256,0.1517370172609419,0.000979832118070062,0.017420740833543044,35.1786676030097,0.7464860870652978,0.003999946317784927,0.038249648784379496,28.347450965347782
35,43,0.1044245163683553,5e-05,0.0022077482903627476,26.56050442871251,0.006827086509314985,0.04698668205313871,0.15874323332716236,0.0009384513115704378,0.0174205935603028,35.178741032982096,0.7706808422688297,0.003783024837065508,0.037013768042322336,28.632734019962317
36,43,0.10374333073913648,5e-05,0.002204226073077117,26.567438647863284,0.007075948870164757,0.04694918607470333,0.15363120999616423,0.0009726599316928476,0.017406691701905348,35.185675252132874,0.7536841649887476,0.0035563905414438502,0.03567946292498868,28.951633831697045
37,43,0.10314310623987301,5e-05,0.002202559476249526,26.570723553979935,0.00717656882643327,0.046931433775770436,0.15124846943365614,0.0009864911508815173,0.017400109930838365,35.18896015824952,0.7427295395555312,0.003402046013327206,0.03476558050866888,29.17701028911874
38,43,0.10272985890608381,5e-05,0.0021964041549834856,26.582877433979668,0.006984486906073272,0.04686581008564224,0.15213209955328655,0.0009600875701088319,0.017375779555002125,35.20111403824926,0.7510257749167195,0.003285125990923713,0.03440090635519638,29.26860229980486
39,43,0.10211917404337106,5e-05,0.002192528141830978,26.590548236114234,0.007052514902579098,0.046824439578397284,0.15084990995095024,0.0009694386985085227,0.017360441191861635,35.20878484038382,0.7440227800691075,0.0032534009337399734,0.034149188039502655,29.332392360384375
40,43,0.1016691945543563,5e-05,0.0021873067645790073,26.600903039211452,0.007020473139714356,0.04676865151550777,0.1498754271222719,0.0009650342377851354,0.017339757433684887,35.21913964348104,0.7424788414463815,0.0032132711854006516,0.03412753632650796,29.3379012478595
41,43,0.10126107349689747,5e-05,0.0021849284468578056,26.605627809560968,0.006730462425808205,0.046743218191068164,0.15501905495215537,0.0009251693650515959,0.01733032787644463,35.22386441383056,0.7634310933739525,0.0031546527053914605,0.03386597405407448,29.404728573763638
42,43,0.10089012719942508,5e-05,0.0021829159705629726,26.60962981754536,0.007011713470184095,0.04672168629836655,0.15217786627099497,0.0009638301336115057,0.017322344798369135,35.227866421814944,0.7507040222350412,0.0031598394338026403,0.033785441045187735,29.425408145855414
43,43,0.1004323195414366,5e-05,0.0021738420741045606,26.627720098524005,0.006744257281672874,0.04662447934405874,0.15126248584769778,0.0009270656059387533,0.01728630473833008,35.2459567027936,0.7592366355781709,0.003099522117573947,0.03340927781571731,29.522658241825063
44,43,0.1000793664967893,5e-05,0.002161108627210527,26.6532340293978,0.00677392167896886,0.04648772555428505,0.15168686961314617,0.0009311432739910595,0.017235602452376275,35.27147063366739,0.7535964092943618,0.00308469983105991,0.03304879485912016,29.616887453113982
45,43,0.09957535372342209,5e-05,0.002152121308952979,26.671332523718018,0.006995294145008263,0.046390961500630476,0.14844623466059953,0.0009615731331728359,0.017199726600404915,35.289569127987605,0.7421775597495398,0.0030707754010695187,0.03221500161800067,29.838836850103284
46,43,0.09917751854486964,5e-05,0.0021303809926212555,26.71542721351564,0.0070080939137128545,0.04615605044434863,0.14834601661090893,0.0009633325893789689,0.01711263192047669,35.33366381778523,0.7384391392733334,0.0029876113255138705,0.031129814204760676,30.136469427074395
47,43,0.09869890376875126,5e-05,0.002111069052060253,26.754975608949657,0.006940461433259802,0.045946371478716934,0.1523096169599099,0.0009540358286158924,0.017034892189157005,35.37321221321925,0.7507511126806212,0.002922538395356367,0.030551718639520387,30.299287083442596
48,43,0.09837350154899664,5e-05,0.002078422597597561,26.822661443895164,0.007139752691021965,0.045589720306200184,0.14928404078919985,0.0009814304049078793,0.01690266163258795,35.440898048164755,0.7422367544533208,0.0029080423786346926,0.03027972767582595,30.37696070062418
49,43,0.09790861424109018,5e-05,0.0020640566520933796,26.852783868152276,0.006893191927200954,0.045431890254460906,0.15524026039862737,0.0009475381623130432,0.016844145196380726,35.47102047242186,0.763032851494615,0.0028448799533130013,0.0302273268811703,30.392005149125126
50,43,0.09754833579063416,5e-05,0.0020926695204843805,26.79299351098659,0.007422421013125853,0.04574570494029336,0.1418478444869135,0.0010202859924642797,0.016960493869159085,35.411230115256174,0.7318479514766465,0.0029057022241602607,0.02994546264673298,30.47337945665734
51,43,0.09718897376159155,5e-05,0.0020837449053832066,26.81155448983574,0.007093253573643822,0.04564805478202994,0.14898781649219256,0.0009750386362330799,0.016924289488601155,35.429791094105326,0.7466739905145239,0.0028203076785490474,0.029796219578703598,30.516776678379138
52,43,0.09691131687597246,5e-05,0.002078384282365796,26.822741505799456,0.007027206909024968,0.04558930008637768,0.1486966886650671,0.0009659598617145722,0.016902505833573975,35.44097811006905,0.7436388027493258,0.002799581918971424,0.029787766398245936,30.519241212828607
53,43,0.09653789337372055,5e-05,0.0020895438010845317,26.79948520730005,0.006846446389920565,0.045711528098331296,0.14943659432205933,0.000941112520758481,0.0169478226004723,35.41772181156964,0.7546693770155593,0.002764014329879679,0.02958782136422589,30.577740240098255
54,43,0.09635500885495865,5e-05,0.002095840909959386,26.786416866448928,0.0070888551042343215,0.04578035506589465,0.14641035806874336,0.0009744340226280498,0.016973340610587452,35.40465347071852,0.7434939626114581,0.002779043850006267,0.029472394092106422,30.611691684928957
55,43,0.09593183890840895,5e-05,0.0020894090453945895,26.79976529494266,0.0066749982589049605,0.04571005409529275,0.15180190277203684,0.0009175452606690759,0.016947276105024674,35.41800189921225,0.76332596010769,0.0026992265455276572,0.029484313102185793,30.60817971105926
56,43,0.09572278165787056,5e-05,0.0020915619344945803,26.79529270738628,0.006770574742026011,0.04573359743661743,0.15033885875915645,0.0009306832040388953,0.016956004939714574,35.413529311655864,0.7522856900129951,0.0026956171169994986,0.029300166431640864,30.662598254939684
57,43,0.09553437059543826,5e-05,0.002089657151152786,26.79924962490169,0.006677054903438487,0.04571276792267983,0.1521830456311704,0.0009178279670266545,0.016948282272769177,35.417486229171274,0.7589700940692734,0.002676620574135194,0.02915722560023787,30.70507605689659
58,43,0.09518956559131274,2.5e-05,0.0021018028504884,26.77408023303258,0.006740449265501872,0.045845423441041526,0.15008438024843626,0.0009265421560358874,0.01699746510007111,35.392316837302175,0.760316044399135,0.002661635512408088,0.028979551956218718,30.758166666079525
59,43,0.09300730055248416,2.5e-05,0.002099418267794062,26.779010281643917,0.006683171768193285,0.04581940929119517,0.14934864359349473,0.0009186687912558489,0.016987820198335387,35.3972468859135,0.7553649167806276,0.0026567090600977607,0.02890008887268872,30.782016434240006
60,43,0.0923916368392875,2.5e-05,0.00209860348174072,26.780696109457367,0.00669239448299216,0.04581051715207677,0.14833469125743773,0.0009199365456321023,0.016984523384542746,35.39893271372696,0.7530708377810416,0.0026331999864221255,0.02877954847976884,30.818320479206545
61,43,0.09208481195005211,2.5e-05,0.0021042051002407706,26.769119310764854,0.006888571675130541,0.04587161540910425,0.14539875561559476,0.0009469030624634442,0.0170071759289747,35.38735591503445,0.7408570946372479,0.0026428865098596255,0.02859014869150258,30.87567171919129
62,43,0.0918568417656462,2.5e-05,0.00210982602179146,26.757533555511873,0.006761896012576958,0.04593284251808786,0.14615509009581856,0.0009294902258888285,0.01702987624604049,35.37577015978146,0.746421073756207,0.002603172207919034,0.028483917969861727,30.90800547228975
63,43,0.09155570771041754,2.5e-05,0.002100067974120349,26.777666479767394,0.00667347651984357,0.045826498602013536,0.14733052690036727,0.0009173360824176972,0.01699044860274687,35.39590308403699,0.7541681696814918,0.00257371826171875,0.028326465885991876,30.956152125514087
64,43,0.09137147295011862,2.5e-05,0.002107454790601365,26.762417331459027,0.006825289809522433,0.045907023325427725,0.14371271973077965,0.0009382043372169536,0.017020303625848266,35.38065393572862,0.7412121388826797,0.002585586726061163,0.028286724602241475,30.968346755721434
65,43,0.09115190002312129,2.5e-05,0.0021157826673081207,26.745289449716005,0.006821569814027632,0.04599763762747083,0.14375292908760592,0.0009376929866362383,0.01705389942060684,35.363526053985595,0.7440956998158782,0.0025674941993754177,0.028149856179491076,31.010476393242374
