epoch,seed,lr,noise_l1,val_masked_mae,val_masked_rmse,val_masked_psnr,val_masked_occ_iou,val_fused_full_psnr,val_fused_full_occ_iou,val_full_psnr_raw
92,42,1.0967581605580993e-05,3.384834345665064,,,,,,,
93,42,1.0567157678236884e-05,3.3381543693778752,,,,,,,
94,42,1.0178735372827107e-05,3.3626647025078267,,,,,,,
95,42,9.802589994440546e-06,3.3520415721981376,,,,,,,
96,42,9.438988146553323e-06,3.3596754009659224,,,,,,,
97,42,9.088187542066199e-06,3.3720089301869676,,,,,,,
98,42,8.75043682064341e-06,3.3644502219316124,,,,,,,
99,42,8.425975372482405e-06,3.354292080209062,,,,,,,
100,42,8.115033168639362e-06,3.369138735908646,0.2376128643232917,0.3784481228812306,8.4398728908097,0.04467894515218353,17.058109495079286,0.2613169258432558,9.362389738107156
101,42,7.817830598030872e-06,3.3602262729997032,,,,,,,
102,42,7.534578311227143e-06,3.3625498795294546,,,,,,,
103,42,7.26547707114757e-06,3.360678035128224,,,,,,,
104,42,7.010717610764453e-06,3.362875969828786,,,,,,,
105,42,6.770480497915708e-06,3.3500457636944883,,,,,,,
106,42,6.5449360073223855e-06,3.354232028395206,,,,,,,
107,42,6.3342439999017524e-06,3.3868352220402107,,,,,,,
108,42,6.138553809461422e-06,3.3687644261229144,,,,,,,
109,42,5.9580041368548775e-06,3.3638056606591284,,,,,,,
110,42,5.7927229516733924e-06,3.3656757294057726,0.2452231658568054,0.37909905103277197,8.424946054111587,0.04467875585201999,17.043182658381173,0.26131679902066185,9.2316899380748
111,42,5.642827401544029e-06,3.3544759461740115,,,,,,,
112,42,5.5084237290980005e-06,3.3647332747240326,,,,,,,
113,42,5.389607196668279e-06,3.34117765496443,,,,,,,
114,42,5.286462018769748e-06,3.361988375852774,,,,,,,
115,42,5.199061302409841e-06,3.3394295132911958,,,,,,,
116,42,5.127466995271916e-06,3.384014852949091,,,,,,,
117,42,5.071729841808123e-06,3.358278691365912,,,,,,,
118,42,5.031889347272857e-06,3.3717922834125726,,,,,,,
119,42,5.007973749722316e-06,3.3827686097707836,,,,,,,
120,42,5e-06,3.3747124325584723,0.23281605262561555,0.37983026189058167,8.408208740977958,0.04467852069639021,17.02644534524755,0.2613166106745653,9.296335553779835
