epoch,seed,g_loss,d_loss,val_masked_mae,val_masked_rmse,val_masked_psnr,val_masked_occ_iou,val_fused_full_psnr,val_fused_full_occ_iou,val_full_psnr_raw
1,42,2.8366391926601127,0.03506292407778469,0.01600632994061082,0.04820886734202251,26.337461441233074,0.060791880329767456,34.95569804550266,0.3730595002499773,9.75494215234898
2,42,0.4875475812854396,0.002071755409643457,0.012351244753289557,0.047532145198708096,26.460251697720295,0.09282572138463956,35.078488301989886,0.5457206316321632,17.86341702555741
3,42,0.3871845095670102,0.01923981464996531,0.015647490106702043,0.047352844477178815,26.493078557654044,0.11964442387653364,35.111315161923635,0.695582470118139,25.345749099117675
4,42,0.3870242074685725,0.03316096729926161,0.011263242141105244,0.04828032427790507,26.324596431961112,0.13023542625586362,34.9428330362307,0.7171776089332386,29.20873276749296
5,42,0.462234319451995,0.07045034142966206,0.006743199710992584,0.05595034373041202,25.04394482086717,0.12848047387649417,33.66218142513676,0.8316894492837698,30.4258335259963
6,42,0.5077666418652076,0.0427087284121159,0.006498697783317835,0.05293920356564935,25.52445193301887,0.1361543845317642,34.142688537288464,0.8275517825491256,30.300949126983898
7,42,0.5028744054505149,0.025742546479041513,0.007394732533982236,0.059262377854630004,24.544418535881963,0.13399873665653128,33.16265514015155,0.7834301421906931,30.305749905003086
8,42,0.47087498306221254,0.07270422200294765,0.005961150933447442,0.05235292970271888,25.621180198280463,0.15250678525951367,34.239416802550046,0.8302675870005439,31.12172415394793
9,42,0.4879112639086875,0.030261054332997347,0.00697914247677077,0.05626288147636223,24.995560588372584,0.14314840775287616,33.61379719264217,0.7899980332693912,30.453759874297006
10,42,0.48832286861599294,0.05001557205577154,0.0065290668090402125,0.056211328076176285,25.00352307466384,0.14653800589356344,33.62175967893342,0.8063013199957957,30.56198905439866
11,42,0.500515903245557,0.00030806217644665693,0.0062761697105129235,0.054080469476548494,25.33919093815186,0.14643372984279124,33.95742754242144,0.8069688097205823,30.43117070735176
12,42,0.49226196737003486,0.00024798537629681667,0.0065650349992737314,0.0564316361298455,24.969547159808187,0.1524897011376196,33.58778376407778,0.8059057752985583,30.73430612472012
13,42,0.413436763378716,0.15612858584201014,0.007940211594916577,0.05965350118560366,24.48728123234053,0.13693681065046415,33.10551783661012,0.731974001920188,30.283728505512887
14,42,0.43029751241005754,0.045052404893008435,0.006083596515107688,0.05183073441734681,25.708252747329997,0.15660913390939882,34.326489351599584,0.8208826529151689,31.778000511292312
15,42,0.4758740925557307,0.004052594555793582,0.005983127820483545,0.05133546496563145,25.791650000940393,0.15623314839003463,34.40988660520998,0.834759589829518,31.432997032286927
16,42,0.47241257705625045,0.09569885405535633,0.006639325953011956,0.05587351089309123,25.05588076517553,0.15671334254831426,33.67411736944512,0.8165046902264799,31.30130002066883
17,42,0.44591836262544665,0.04116051185976814,0.006360533135929347,0.055083276817293476,25.17960464305216,0.16093922913431435,33.79784124732175,0.8092272092116103,31.21526237496512
18,42,0.4858687827867028,0.00021207997122326414,0.0057236198206766856,0.05066037406409007,25.906632156140198,0.15988719400611673,34.52486876040978,0.8307667047832519,31.3331317285719
19,42,0.4596798908267472,0.07969927727370649,0.006408033490280121,0.05394292422342075,25.36131028644547,0.15255483922573948,33.979546890715056,0.8188027046607603,31.39365752925821
20,42,0.43940137674075525,0.020561817781748,0.006079895436816214,0.052535515339760024,25.59094006469656,0.1562556435486587,34.20917666896615,0.8139972175235215,30.230548169190637
21,42,0.42867955390514956,0.06845547631382942,0.006242030526770646,0.053579380957674436,25.42004616850138,0.16368784106525772,34.03828277277097,0.8335152567021249,32.31726024534656
22,42,0.4395535759426452,0.00867163626527464,0.009642611631553237,0.07294915152048634,22.739595101349934,0.13764470686423885,31.357831705619525,0.7263906177479426,29.50763302181841
23,42,0.4279081762415936,0.035960850884785525,0.005884121651011346,0.051451740233585175,25.771998633361584,0.15842789363493948,34.390235237631174,0.8389905752741768,31.995673164459983
24,42,0.42658114009159237,0.04712630622088909,0.00600246971941713,0.0520766396789677,25.667140940396635,0.16175696929384348,34.28537754466622,0.81157556051868,29.207245672225394
25,42,0.4263026722253779,0.04835301536966015,0.005865092437991107,0.05172963469956722,25.725211768962115,0.15626250623072568,34.34344837323171,0.8263205504783734,31.129493536093666
26,42,0.43530625473657575,0.05635891084534091,0.005950807746545744,0.05125919735948446,25.804563969697988,0.15779691855243627,34.42280057396758,0.8131760086782629,30.692982954417808
27,42,0.4819043423175006,0.012966394525121999,0.006111258877730735,0.053438913196279976,25.442847656480314,0.1547585805121929,34.0610842607499,0.8292262577910028,31.385030060974337
28,42,0.4568265014630113,0.04983776032521918,0.0077724413248692215,0.06383985814669656,23.898161733326795,0.1356242475463033,32.516398337596385,0.7841917532013891,30.41763478116011
29,42,0.43704485233772444,0.05782636068761349,0.005760841511294231,0.05123827250970269,25.80811041701331,0.14720935037679167,34.4263470212829,0.8413528891401525,32.72046058277875
30,42,0.4421403898882705,0.0031287675169674126,0.005306147835343787,0.048373298758475285,26.307885908317928,0.1550947436998846,34.92612251258751,0.8437894114044603,32.01218635298129
31,42,0.44569703815756617,0.10369254890325907,0.00545373645074058,0.049438291363064685,26.11873094625514,0.1596760917261749,34.73696755052473,0.8443210806786924,29.49247717819864
32,42,0.4418612848715605,0.00019345155640228376,0.005289888949042256,0.048106152302664205,26.355987561822644,0.16046733065675992,34.974224166092235,0.8449509475067862,29.72243382255495
33,42,0.46079658432486087,8.998635048801834e-05,0.005179488155179508,0.047756575960468,26.41933637408215,0.15150428606918667,35.03757297835173,0.8543828574951153,30.444561905012858
34,42,0.41359157403427604,0.17503087680686163,0.006386172858445731,0.054263115762110896,25.309905457547398,0.15728511786643334,33.928142061816985,0.8244256900865579,31.351059036276574
35,42,0.44816102164268895,0.06485115580663488,0.0069932330768837,0.05188640053939121,25.698929122274507,0.13334150219495355,34.3171657265441,0.7698528933959611,32.060712327091764
36,42,0.46076936111156197,0.0009173732754346487,0.005544489417426872,0.048791305862070866,26.233151163435323,0.15406053539240055,34.851387767704914,0.8401512761029868,29.682684419236793
37,42,0.46015111992538377,0.08263712451868765,0.0059710653193263356,0.05085525854277998,25.87328266877341,0.1570834076452054,34.491519273043,0.8338841745524245,33.0259504099934
38,42,0.4516741368114143,0.004576101093678861,0.007329592510821603,0.06019111832227985,24.409351752316883,0.14579074453320232,33.02758835658647,0.8082747596570051,30.93999988414219
39,42,0.4724393241057122,0.05035721238803219,0.006160849448892911,0.053976876236991114,25.35584505297888,0.14812873959168096,33.97408165724847,0.8197815099894953,31.359746660848945
40,42,0.453640278158206,0.06041529210838112,0.005640919997912707,0.05067963197991241,25.90333094983411,0.14809802246136095,34.521567554103704,0.8410126074768766,31.24015919451646
