model,seeds,epoch,masked_occ_iou,masked_occ_precision,masked_occ_recall,masked_occ_f1,masked_rmse,masked_mae,fused_full_psnr,fused_full_occ_iou,fused_full_occ_precision,fused_full_occ_recall,fused_full_occ_f1,masked_occ_iou_std,masked_occ_precision_std,masked_occ_recall_std,masked_occ_f1_std,masked_rmse_std,masked_mae_std,fused_full_psnr_std,fused_full_occ_iou_std,fused_full_occ_precision_std,fused_full_occ_recall_std,fused_full_occ_f1_std,notes
U-Net,42/43/44,21/24/21,0.14942682687765343,0.20093634705382807,0.3684027912321512,0.25999772563130613,0.05594548060349678,0.00846362404704634,33.662946014424165,0.7521976311438725,0.8128650157144602,0.9097423657162421,0.8585713336545009,0.0022892893092960665,0.004637789512544948,0.005574800771631812,0.003468100031836963,0.00010185873432776549,0.0001731813899334726,0.015806008812942286,0.004454411508965976,0.005646011085200663,0.000796660153442336,0.002897787374760803,Best final model family; mean over 3 seeds.
Pix2Pix,42,21,0.13165954947180167,0.2700957605671959,0.20437540389160894,0.2326840250378364,0.06138619880484645,0.0074778987008897665,32.85682177318128,0.8214670618445953,0.9182306692994258,0.8863022305579744,0.9019839875805359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valid GAN comparison; higher precision but lower recall than U-Net.
Diffusion v3,42,30,0.04672422152055693,0.04672422152055693,1.0,0.08927704272034807,0.3810134548983437,0.24499839019731892,16.999430356640197,0.2553920791036521,0.2553920791036521,1.0,0.4068722168232917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Corrected diffusion baseline; recall collapses into too many positives.
